path_num,missing_points,teo_point_time,sim_drone_time,teo_point_dist,teo_Xdist,teo_Ydist,sim_Xdist,sim_Ydist,teo_point_vel,Energy,energy_new,avg_energy
1,3,20,17.05000114440918,1.0,1.0,0.0,9.220302104040456e-07,4.473001536098309e-05,0.05,1557743.826075166,369362.4489849024,87059.5641309649
1,2,50,45.14999771118164,1.0,1.0,0.0,0.11378969436287888,0.0009342419980384877,0.02,10130266.921569195,1498467.0552821464,220936.91386446802
1,1,80,72.5,1.0,1.0,0.0,1.7609229236841202,0.0006853911618236452,0.0125,27562602.88325613,3230501.9333119667,378101.6522941503
1,0,100,152.79998779296875,1.0,1.0,0.0,1.7424653768539429,0.002578038809588179,0.01,90752903.35970907,8018608.16149596,637926.2131829071
2,4,20,13.399999618530273,4.0,4.0,0.0,3.2291743755340576,0.00451925111701712,0.2,2306622.492683152,487233.7884833017,99456.18060226968
2,3,20,22.25,1.0,1.0,0.0,3.975396623303823,0.00033823621924966574,0.05,1638957.447208273,389779.096590131,87157.25561839895
2,2,50,45.099998474121094,1.0,1.0,0.0,0.11423141257546375,0.0008908444433473051,0.02,9673774.620855048,1446882.2779910231,215688.4752685117
2,1,80,72.55000305175781,1.0,1.0,0.0,1.7591328397393229,0.0006437962292693554,0.0125,26065270.76139463,3098179.7327651,367686.28806335543
2,0,100,152.94998168945312,1.0,1.0,0.0,1.744992971420288,0.002692364767426625,0.01,87403638.74991281,7794198.461553673,626045.0857622031
3,4,10,13.300000190734865,4.0,4.0,0.0,3.23297381401062,0.004986224288586527,0.4,1970862.7883457523,434736.06393289845,92686.04025611242
3,3,10,13.949999809265135,1.0,1.0,0.0,3.9750313301615288,0.0003856216681015212,0.1,562361.2277478712,177779.14418235797,51320.41837499283
3,2,40,36.80000305175781,1.0,1.0,0.0,0.02839603712300232,0.0006664774446107912,0.025,6080506.203313317,1027890.3522460089,173745.1809190216
3,1,70,63.44999694824219,1.0,1.0,0.0,0.9834220539778472,0.0008134281961247325,0.014285714285714285,14125165.898409227,1993632.0843400538,257376.79537046028
3,0,90,113.1999969482422,1.0,1.0,0.0,2.8550758361816406,0.002932652714662254,0.011111111111111112,48132608.98793539,4965880.839142453,465097.3535946218
4,4,10,0.0,4.0,4.0,0.0,1.9330425262451167,0.002976625080918893,0.4,1973301.3172399446,421284.2249782022,89818.09855467085
4,3,10,13.300000190734865,1.0,1.0,0.0,3.8300208308664883,0.0004205393997835927,0.1,519829.5517657466,159939.44151717017,48223.556062858566
4,2,40,36.599998474121094,1.0,1.0,0.0,0.02341972767135303,0.0006055197809473611,0.025,6082694.955490451,1028260.2074681472,173807.69786194636
4,1,70,64.05000305175781,1.0,1.0,0.0,0.9828945044428109,0.0008165019098669291,0.014285714285714285,14143247.391879814,1995350.3066351896,257598.6169149317
4,0,90,112.95000457763672,1.0,1.0,0.0,2.8672589063644414,0.002967626147437841,0.011111111111111112,282197789.40195143,15254353.94560083,779461.074946552
